Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Customer Currency,Sale Date
iTunes,9/1/15,9/30/15,92,64.4,USD,US,,9781620155615,,938567991,,,,0.99,,,,TAG,Shari J. Ryan,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.8,USD,US,,9781620155745,,939983434,,,,3.99,,,,The Soul Thief,Majanka Verstraete,Booktrope,USD,
iTunes,9/1/15,9/30/15,12,8.4,USD,US,,9781620156575,,942808622,,,,0.99,,,,Ghosts,Heather Huffman,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.8,USD,US,,9781620156322,,942809607,,,,3.99,,,,Learning to Float: Memoir of a Caregiver-Husband,Allan Ament,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,4.2,USD,US,,9781620156094,,954738191,,,,5.99,,,,"Last Stop, The Twilight Zone: The Biography of Rod Serling",Joel Engel,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.8,USD,US,,9781620156797,,954746316,,,,3.99,,,,The To-Do List,J.C. Miller,Booktrope,USD,
iTunes,9/1/15,9/30/15,3,8.4,USD,US,,9781620156834,,961839095,,,,3.99,,,,Summer Champagne,Jennifer Gracen,Booktrope,USD,
iTunes,9/1/15,9/30/15,7,19.6,USD,US,,9781620156711,,963252857,,,,3.99,,,,The Duke IÌ¢‰âÂ‰ã¢m Going to Marry,Meara Platt,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,3.5,USD,US,,9781620157435,,968059545,,,,4.99,,,,"The Adventures of Emery Jones, Boy Science Wonder: The Hard Problem","Elisheba Johnson,Charles Johnson",Booktrope,USD,
iTunes,9/1/15,9/30/15,1,3.5,USD,US,,9781620154106,,969740617,,,,4.99,,,,A Decent Woman,Eleanor Parker Sapia,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,0.7,USD,US,,9781620156827,,972346248,,,,0.99,,,,Death of a Tango Dancer,Lisa Fernow,Booktrope,USD,
iTunes,9/1/15,9/30/15,6,12.6,USD,US,,9781620157329,,972960554,,,,2.99,,,,The Daring Assignment,Victoria Bright,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.1,USD,US,,9781620157848,,976847181,,,,2.99,,,,Rock Star's Girl,Jennifer Farwell,Booktrope,USD,
iTunes,9/1/15,9/30/15,5,3.5,USD,US,,9781620157909,,980483809,,,,0.99,,,,Unblocked - Episode Two,Marni Mann,Booktrope,USD,
iTunes,9/1/15,9/30/15,13,9.1,USD,US,,9781620159293,,980489152,,,,0.99,,,,Sins,Heather Huffman,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.1,USD,US,,9781620159194,,980691384,,,,2.99,,,,Kindness Wins,Galit Breen,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,0.7,USD,US,,9781620158661,,990676605,,,,0.99,,,,Unexpected Chances,A.M. Willard,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.8,USD,US,,9781620157923,,992002124,,,,3.99,,,,Underwater Secrets,EJ Hanagan,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.8,USD,US,,9781620157503,,992286862,,,,3.99,,,,Midnight,Eve Eschenbacher,Booktrope,USD,
iTunes,9/1/15,9/30/15,5,3.5,USD,US,,9781620159804,,994369352,,,,0.99,,,,Unblocked - Episode Three,Marni Mann,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,0.7,USD,US,,9781620159279,,994810869,,,,0.99,,,,Simmering,S.E. Rise,Booktrope,USD,
iTunes,9/1/15,9/30/15,8,39.2,USD,US,,9781620159873,,1000255300,,,,6.99,,,,Too Clever By Half,Will North,Booktrope,USD,
iTunes,9/1/15,9/30/15,3,8.4,USD,US,,9781620155240,,1002235249,,,,3.99,,,,First of Spring,Kelsey Jordan,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.1,USD,US,,9781513700113,,1002584045,,,,2.99,,,,Red Nights,Shari J. Ryan,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,0.7,USD,US,,9781513700106,,1005351623,,,,0.99,,,,Licentious,Jen Cousineau,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.8,USD,US,,9781620159941,,1008147951,,,,3.99,,,,The Anonymous Source,A.C. Fuller,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,3.5,USD,US,,9781620159187,,1008221322,,,,4.99,,,,Gargoyle,Terry Persun,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,0.7,USD,US,,9781620159910,,1010849710,,,,0.99,,,,Unexpected Changes,A.M. Willard,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.1,USD,US,,9781620159811,,1012536425,,,,2.99,,,,I Was In Love With a Short Man Once,Kimberly J. Dalferes,Booktrope,USD,
iTunes,9/1/15,9/30/15,7,14.7,USD,US,,9781620159316,,1012541305,,,,2.99,,,,Home No More,Leddy Harper,Booktrope,USD,
iTunes,9/1/15,9/30/15,88,61.6,USD,US,,9781620159316,,1012541305,,,,0.99,,,,Home No More,Leddy Harper,Booktrope,USD,
iTunes,9/1/15,9/30/15,6,12.6,USD,US,,9781513701011,,1012546917,,,,2.99,,,,Falling for Him,Amy Stephens,Booktrope,USD,
iTunes,9/1/15,9/30/15,3,2.1,USD,US,,9781513701011,,1012546917,,,,0.99,,,,Falling for Him,Amy Stephens,Booktrope,USD,
iTunes,9/1/15,9/30/15,2,5.6,USD,US,,9781513701202,,1012981946,,,,3.99,,,,Rules for Reforming a Rake,Meara Platt,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.1,USD,US,,9781513700700,,1014509056,,,,2.99,,,,Falling,Ryanne Anthony,Booktrope,USD,
iTunes,9/1/15,9/30/15,5,7,USD,US,,9781513701523,,1015995419,,,,1.99,,,,Unblocked - Episode Four,Marni Mann,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,3.5,USD,US,,9781513701424,,1018700570,,,,4.99,,,,Kolea,Russell Cahill,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.1,USD,US,,9781513702452,,1021461033,,,,2.99,,,,Magic Fishing Panties,Kimberly J. Dalferes,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.1,USD,US,,9781513701912,,1021598735,,,,2.99,,,,The Secret of Strange Waters,Kelly Hall,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.8,USD,US,,9781513700618,,1022550232,,,,3.99,,,,Come Sit By Me,Thomas Hoobler,Booktrope,USD,
iTunes,9/1/15,9/30/15,7,14.7,USD,US,,9781620158197,,1022625256,,,,2.99,,,,This OneÌ¢‰âÂ‰ã¢s For You,Brandy Jellum,Booktrope,USD,
iTunes,9/1/15,9/30/15,2,5.6,USD,US,,9781513702520,,1023506396,,,,3.99,,,,The House on Seventh Street,Karen Vorbeck Williams,Booktrope,USD,
iTunes,9/1/15,9/30/15,4,14,USD,US,,9781513701042,,1024275528,,,,4.99,,,,Dangerous Concoctions,Victoria Bright,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.1,USD,US,,9781513701899,,1024652352,,,,2.99,,,,Reinheit,Thomas S. Flowers,Booktrope,USD,
iTunes,9/1/15,9/30/15,8,22.4,USD,US,,9781513700977,,1024657518,,,,3.99,,,,Blue Moon,Tess Thompson,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,3.5,USD,US,,9781513700502,,1025630429,,,,4.99,,,,Sugar Scars,Travis Norwood,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.1,USD,US,,9781513701783,,1029973518,,,,2.99,,,,Jeep Tour,Gail Ward Olmsted,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.8,USD,US,,9781513702711,,1029978366,,,,3.99,,,,Goddess of Suburbia,Stephanie Kepke,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.1,USD,US,,9781513701059,,1029979201,,,,2.99,,,,Crossing the Line,Samantha Long,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,3.5,USD,US,,9781513701394,,1029980365,,,,4.99,,,,The Girl's Guide to the Apocalypse,Daphne Lamb,Booktrope,USD,
iTunes,9/1/15,9/30/15,5,14,USD,US,,9781513701936,,1029982111,,,,3.99,,,,After Day One,Benjamin Levi Seims,Booktrope,USD,
iTunes,9/1/15,9/30/15,6,12.6,USD,US,,9781513702698,,1032063847,,,,2.99,,,,Hell's Flower,"S.L. Schiefer,Jen Cousineau",Booktrope,USD,
iTunes,9/1/15,9/30/15,6,4.2,USD,US,,9781513702476,,1032384197,,,,0.99,,,,You're It,Shari J. Ryan,Booktrope,USD,
iTunes,9/1/15,9/30/15,2,5.6,USD,US,,9781620159224,,1032757988,,,,3.99,,,,Journey,Mireille Chester,Booktrope,USD,
iTunes,9/1/15,9/30/15,8,11.2,USD,US,,9781513702483,,1032759468,,,,1.99,,,,Unblocked - Episode Five,Marni Mann,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.8,USD,US,,9781513701141,,1033409979,,,,3.99,,,,Broken Promises,Melissa Huie,Booktrope,USD,
iTunes,9/1/15,9/30/15,2,4.2,USD,US,,9781513701561,,1033412183,,,,2.99,,,,Falling for Her,Amy Stephens,Booktrope,USD,
iTunes,9/1/15,9/30/15,2,1.4,USD,US,,9781513701561,,1033412183,,,,0.99,,,,Falling for Her,Amy Stephens,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.1,USD,US,,9781513701516,,1033737317,,,,2.99,,,,Full Count,Cori Williams,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,3.5,USD,US,,9781620159866,,1035495972,,,,4.99,,,,Thompson Road,Scott Wyatt,Booktrope,USD,
iTunes,9/1/15,9/30/15,3,8.4,USD,US,,9781513700649,,1035501055,,,,3.99,,,,High Strung,Janice Peacock,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.8,USD,US,,9781620159286,,1036034623,,,,3.99,,,,Pretty Poison,Lynne Barron,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.8,USD,US,,9781513701813,,1038147418,,,,3.99,,,,Illumination,A.L. Waddington,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,3.5,USD,US,,9781513702643,,1039192167,,,,4.99,,,,Reach for Joy,T.L. Reys,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,0.56,EUR,EU,,9781620152690,,719581050,,,,0.99,,,,The Dark Light of Day,T.M. Frazier,Booktrope,EUR,
iTunes,9/1/15,9/30/15,1,2.1,CAD,Canada,,9781620150313,,480519951,,,,2.99,,,,Suddenly a Spy,Heather Huffman,Booktrope,CAD,
iTunes,9/1/15,9/30/15,4,2.8,CAD,Canada,,9781620150467,,517235903,,,,0.99,,,,Tumbleweed,Heather Huffman,Libertary Co,CAD,
iTunes,9/1/15,9/30/15,1,2.1,CAD,Canada,,9781620152478,,666120396,,,,2.99,,,,Fool's Game,Heather Huffman,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,2.1,CAD,Canada,,9781620152546,,709567734,,,,2.99,,,,Just Friends With Benefits,Meredith Schorr,Booktrope,CAD,
iTunes,9/1/15,9/30/15,3,10.5,CAD,Canada,,9781620152690,,719581050,,,,4.99,,,,The Dark Light of Day,T.M. Frazier,Booktrope,CAD,
iTunes,9/1/15,9/30/15,2,7,CAD,Canada,,9781620152638,,738930170,,,,4.99,,,,The Old Cape House,Barbara Eppich Struna,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,8.4,CAD,Canada,,9781620153697,,826781697,,,,11.99,,,,"Losing Him, Gaining You: Divorce as Opportunity",Corbin Lewars,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,7.7,CAD,Canada,,9781620154984,,894705338,,,,10.99,,,,The Enchanters Collection,Allie Burke,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,6.3,CAD,Canada,,9781620153093,,904181911,,,,8.99,,,,Harm None,Will North,Booktrope,CAD,
iTunes,9/1/15,9/30/15,2,7,CAD,Canada,,9781620155158,,930738587,,,,4.99,,,,My Fair Lily,Meara Platt,Booktrope,CAD,
iTunes,9/1/15,9/30/15,3,8.4,CAD,Canada,,9781620156117,,930966919,,,,3.99,,,,The Old Cape Teapot,Barbara Eppich Struna,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,2.1,CAD,Canada,,9781620155615,,938567991,,,,2.99,,,,TAG,Shari J. Ryan,Booktrope,CAD,
iTunes,9/1/15,9/30/15,30,21,CAD,Canada,,9781620155615,,938567991,,,,0.99,,,,TAG,Shari J. Ryan,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,0.7,CAD,Canada,,9781620156575,,942808622,,,,0.99,,,,Ghosts,Heather Huffman,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,3.5,CAD,Canada,,9781620156087,,947175435,,,,4.99,,,,How Do You Know?,Meredith Schorr,Booktrope,CAD,
iTunes,9/1/15,9/30/15,2,7,CAD,Canada,,9781620156711,,963252857,,,,4.99,,,,The Duke IÌ¢‰âÂ‰ã¢m Going to Marry,Meara Platt,Booktrope,CAD,
iTunes,9/1/15,9/30/15,12,8.4,CAD,Canada,,9781620157053,,964404454,,,,0.99,,,,Uncharted Territory,Carolyn Ridder Aspenson,Booktrope,CAD,
iTunes,9/1/15,9/30/15,2,5.6,CAD,Canada,,9781620157329,,972960554,,,,3.99,,,,The Daring Assignment,Victoria Bright,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,6.3,CAD,Canada,,9781620157091,,978750571,,,,8.99,,,,This Thing We Call Sex,David Steinberg,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,0.7,CAD,Canada,,9781620159293,,980489152,,,,0.99,,,,Sins,Heather Huffman,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,3.5,CAD,Canada,,9781620158142,,998155587,,,,4.99,,,,Never Forgotten Love,S.M. Stryker,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,4.9,CAD,Canada,,9781620159873,,1000255300,,,,6.99,,,,Too Clever By Half,Will North,Booktrope,CAD,
iTunes,9/1/15,9/30/15,40,28,CAD,Canada,,9781620159316,,1012541305,,,,0.99,,,,Home No More,Leddy Harper,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,2.8,CAD,Canada,,9781513701011,,1012546917,,,,3.99,,,,Falling for Him,Amy Stephens,Booktrope,CAD,
iTunes,9/1/15,9/30/15,2,5.6,CAD,Canada,,9781513701202,,1012981946,,,,3.99,,,,Rules for Reforming a Rake,Meara Platt,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,3.5,CAD,Canada,,9781513700465,,1022596364,,,,4.99,,,,Incurable,E.C. Moore,Booktrope,CAD,
iTunes,9/1/15,9/30/15,2,4.2,CAD,Canada,,9781620158197,,1022625256,,,,2.99,,,,This OneÌ¢‰âÂ‰ã¢s For You,Brandy Jellum,Booktrope,CAD,
iTunes,9/1/15,9/30/15,2,4.2,CAD,Canada,,9781513701059,,1029979201,,,,2.99,,,,Crossing the Line,Samantha Long,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,2.8,CAD,Canada,,9781513701936,,1029982111,,,,3.99,,,,After Day One,Benjamin Levi Seims,Booktrope,CAD,
iTunes,9/1/15,9/30/15,4,8.4,CAD,Canada,,9781513702698,,1032063847,,,,2.99,,,,Hell's Flower,"S.L. Schiefer,Jen Cousineau",Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,0.7,CAD,Canada,,9781513702476,,1032384197,,,,0.99,,,,You're It,Shari J. Ryan,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,2.8,CAD,Canada,,9781513701516,,1033737317,,,,3.99,,,,Full Count,Cori Williams,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,3.5,CAD,Canada,,9781620156773,,1034409091,,,,4.99,,,,A Beginner's Guide to Invading Earth,Gerhard Gehrke,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,0.7,CAD,Canada,,9781513701158,,1035494101,,,,0.99,,,,Fading Memories,A.M. Willard,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,3.5,CAD,Canada,,9781513703725,,1039184304,,,,4.99,,,,A Wedding At The Paragraph Ranch,"Kay Ellington,Barbara Brannon",Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,3.5,CAD,Canada,,9781513701868,,1040262349,,,,4.99,,,,Forget Me Not,Allison Whitmore,Booktrope,CAD,
iTunes,9/1/15,9/30/15,1,1.9,AUD,Australia,,9781620150313,,480519951,,,,2.99,,,,Suddenly a Spy,Heather Huffman,Booktrope,AUD,
iTunes,9/1/15,9/30/15,16,50.88,AUD,Australia,,9781620152690,,719581050,,,,4.99,,,,The Dark Light of Day,T.M. Frazier,Booktrope,AUD,
iTunes,9/1/15,9/30/15,1,2.54,AUD,Australia,,9781620154212,,885177180,,,,3.99,,,,The Lycan Hunter,Kelsey Jordan,Booktrope,AUD,
iTunes,9/1/15,9/30/15,1,3.18,AUD,Australia,,9781620155165,,914288632,,,,4.99,,,,Waiting,Bonnie Dodge,Booktrope,AUD,
iTunes,9/1/15,9/30/15,1,1.27,AUD,Australia,,9781620155288,,915125212,,,,1.99,,,,Saving Jason,EJ Hanagan,Booktrope,AUD,
iTunes,9/1/15,9/30/15,1,3.18,AUD,Australia,,9781620155271,,924190644,,,,4.99,,,,Spring Shadows,Jennifer Gracen,Booktrope,AUD,
iTunes,9/1/15,9/30/15,2,6.36,AUD,Australia,,9781620155158,,930738587,,,,4.99,,,,My Fair Lily,Meara Platt,Booktrope,AUD,
iTunes,9/1/15,9/30/15,1,1.9,AUD,Australia,,9781620155615,,938567991,,,,2.99,,,,TAG,Shari J. Ryan,Booktrope,AUD,
iTunes,9/1/15,9/30/15,4,5.08,AUD,Australia,,9781620155615,,938567991,,,,1.99,,,,TAG,Shari J. Ryan,Booktrope,AUD,
iTunes,9/1/15,9/30/15,2,1.26,AUD,Australia,,9781620156575,,942808622,,,,0.99,,,,Ghosts,Heather Huffman,Booktrope,AUD,
iTunes,9/1/15,9/30/15,1,3.18,AUD,Australia,,9781620156834,,961839095,,,,4.99,,,,Summer Champagne,Jennifer Gracen,Booktrope,AUD,
iTunes,9/1/15,9/30/15,2,6.36,AUD,Australia,,9781620156711,,963252857,,,,4.99,,,,The Duke IÌ¢‰âÂ‰ã¢m Going to Marry,Meara Platt,Booktrope,AUD,
iTunes,9/1/15,9/30/15,1,2.54,AUD,Australia,,9781620157329,,972960554,,,,3.99,,,,The Daring Assignment,Victoria Bright,Booktrope,AUD,
iTunes,9/1/15,9/30/15,2,1.26,AUD,Australia,,9781620157909,,980483809,,,,0.99,,,,Unblocked - Episode Two,Marni Mann,Booktrope,AUD,
iTunes,9/1/15,9/30/15,2,1.26,AUD,Australia,,9781620159293,,980489152,,,,0.99,,,,Sins,Heather Huffman,Booktrope,AUD,
iTunes,9/1/15,9/30/15,2,7.62,AUD,Australia,,9781620159712,,991483836,,,,5.99,,,,The Broken Road,Melissa Huie,Booktrope,AUD,
iTunes,9/1/15,9/30/15,1,1.27,AUD,Australia,,9781620158159,,991484268,,,,1.99,,,,Stolen Innocence,S.M. Stryker,Booktrope,AUD,
iTunes,9/1/15,9/30/15,3,1.89,AUD,Australia,,9781620159804,,994369352,,,,0.99,,,,Unblocked - Episode Three,Marni Mann,Booktrope,AUD,
iTunes,9/1/15,9/30/15,8,10.16,AUD,Australia,,9781620159316,,1012541305,,,,1.99,,,,Home No More,Leddy Harper,Booktrope,AUD,
iTunes,9/1/15,9/30/15,2,5.08,AUD,Australia,,9781620159316,,1012541305,,,,3.99,,,,Home No More,Leddy Harper,Booktrope,AUD,
iTunes,9/1/15,9/30/15,2,5.08,AUD,Australia,,9781513701011,,1012546917,,,,3.99,,,,Falling for Him,Amy Stephens,Booktrope,AUD,
iTunes,9/1/15,9/30/15,1,3.18,AUD,Australia,,9781513701202,,1012981946,,,,4.99,,,,Rules for Reforming a Rake,Meara Platt,Booktrope,AUD,
iTunes,9/1/15,9/30/15,2,3.8,AUD,Australia,,9781513701523,,1015995419,,,,2.99,,,,Unblocked - Episode Four,Marni Mann,Booktrope,AUD,
